2018-01-20 16:55:35 INFO  TestBase:21 -============Starting Question and Answer forum================
2018-01-20 16:55:38 INFO  HomePage:30 -Clicked on askMoms and object is [[ChromeDriver: chrome on XP (0176e0010349465468d2c9be0baa4071)] -> xpath: //*[@id='app']/div/div/header/div[1]/section[3]/a[1]]
2018-01-20 16:56:35 INFO  TestBase:21 -============Starting Question and Answer forum================
2018-01-20 16:56:38 INFO  HomePage:30 -Clicked on askMoms and object is [[ChromeDriver: chrome on XP (de9c17a33033cf5e86d7a097fda36445)] -> xpath: //*[@id='app']/div/div/header/div[1]/section[3]/a[1]]
2018-01-20 16:56:39 INFO  HomePage:32 -Clicked on askLifestages and object is Proxy element for: DefaultElementLocator 'By.xpath: //*[@id='app']/div/div/main/div/div/div[2]/div/div[1]/div[1]/div/div/div[1]/div/a/h3'
2018-01-20 16:57:28 INFO  TestBase:21 -============Starting Question and Answer forum================
2018-01-20 16:57:30 INFO  HomePage:30 -Clicked on askMoms and object is [[ChromeDriver: chrome on XP (431a71cb79fb9498e50ef5263a50fe0a)] -> xpath: //*[@id='app']/div/div/header/div[1]/section[3]/a[1]]
2018-01-20 17:12:24 INFO  TestBase:21 -============Starting Question and Answer forum================
2018-01-20 17:12:26 INFO  HomePage:30 -Clicked on askMoms and object is [[ChromeDriver: chrome on XP (44d6e1c18f92931640acf8f5d5f9c282)] -> xpath: //*[@id='app']/div/div/header/div[1]/section[3]/a[1]]
2018-01-20 17:13:17 INFO  TestBase:21 -============Starting Question and Answer forum================
2018-01-20 17:13:20 INFO  HomePage:30 -Clicked on askMoms and object is [[ChromeDriver: chrome on XP (3b899684b63e465737280a21e8afe1c8)] -> xpath: //*[@id='app']/div/div/header/div[1]/section[3]/a[1]]
2018-01-20 17:17:26 INFO  TestBase:21 -============Starting Question and Answer forum================
2018-01-20 17:17:30 INFO  HomePage:30 -Clicked on askMoms and object is [[ChromeDriver: chrome on XP (e0eef0ff60f0706a731a302b92ebf1f8)] -> xpath: //*[@id='app']/div/div/header/div[1]/section[3]/a[1]]
2018-01-20 17:18:31 INFO  HomePage:32 -Clicked on askLifestages and object is Proxy element for: DefaultElementLocator 'By.xpath: //*[@id='app']/div/div/main/div/div/div[2]/div/div[1]/div[1]/div/div/div[1]/div/a/h3'
2018-01-20 17:19:50 INFO  TestBase:21 -============Starting Question and Answer forum================
2018-01-20 17:19:53 INFO  HomePage:30 -Clicked on askMoms and object is [[ChromeDriver: chrome on XP (c46da572cdf41e3e96875bef0f122d52)] -> xpath: //*[@id='app']/div/div/header/div[1]/section[3]/a[1]]
2018-01-20 17:25:06 INFO  TestBase:21 -============Starting Question and Answer forum================
2018-01-20 17:25:08 INFO  HomePage:30 -Clicked on askMoms and object is [[ChromeDriver: chrome on XP (577b0393f71908cd829662c47be93503)] -> xpath: //*[@id='app']/div/div/header/div[1]/section[3]/a[1]]
2018-01-20 17:26:09 INFO  HomePage:32 -Clicked on askLifestages and object is Proxy element for: DefaultElementLocator 'By.xpath: //*[@id='app']/div/div/main/div/div/div[2]/div/div[1]/div[1]/div/div/div[1]/div/a/h3'
2018-01-20 17:27:21 INFO  TestBase:21 -============Starting Question and Answer forum================
2018-01-20 17:27:24 INFO  HomePage:31 -Clicked on askMoms and object is [[ChromeDriver: chrome on XP (6357b7d8c8ee16d1916ab6e61532021d)] -> xpath: //*[@id='app']/div/div/header/div[1]/section[3]/a[1]]
2018-01-20 17:28:11 INFO  TestBase:21 -============Starting Question and Answer forum================
2018-01-20 17:28:13 INFO  HomePage:31 -Clicked on askMoms and object is [[ChromeDriver: chrome on XP (943592341321e1cd7f8ba90dd401ffec)] -> xpath: //*[@id='app']/div/div/header/div[1]/section[3]/a[1]]
2018-01-20 17:29:13 INFO  TestBase:21 -============Starting Question and Answer forum================
2018-01-20 17:29:15 INFO  HomePage:31 -Clicked on askMoms and object is [[ChromeDriver: chrome on XP (41aee04dc6cdff2cd63771eec05e7fed)] -> xpath: //*[@id='app']/div/div/header/div[1]/section[3]/a[1]]
2018-01-20 17:30:16 INFO  HomePage:33 -Clicked on askLifestages and object is Proxy element for: DefaultElementLocator 'By.xpath: //*[@id='app']/div/div/main/div/div/div[2]/div/div[1]/div[1]/div/div/div[1]/div/a/h3'
2018-01-20 17:30:20 INFO  TestBase:24 -============Finished Question and Answers forum================
2018-01-20 17:32:02 INFO  TestBase:21 -============Starting Question and Answer forum================
2018-01-20 17:32:04 INFO  HomePage:31 -Clicked on askMoms and object is [[ChromeDriver: chrome on XP (ea770796a1ee91a2ccaa27070f3f4e4f)] -> xpath: //*[@id='app']/div/div/header/div[1]/section[3]/a[1]]
2018-01-20 17:32:46 INFO  TestBase:21 -============Starting Question and Answer forum================
2018-01-20 17:32:49 INFO  HomePage:31 -Clicked on askMoms and object is [[ChromeDriver: chrome on XP (1b19e4e5723d8eb7b27cfe9663324595)] -> xpath: //*[@id='app']/div/div/header/div[1]/section[3]/a[1]]
2018-01-20 17:34:08 INFO  TestBase:21 -============Starting Question and Answer forum================
2018-01-20 17:34:11 INFO  HomePage:31 -Clicked on askMoms and object is [[ChromeDriver: chrome on XP (0d0f0891dafdc9518fbfafad014f45ba)] -> xpath: //*[@id='app']/div/div/header/div[1]/section[3]/a[1]]
2018-01-21 19:37:25 INFO  TestBase:21 -============Starting Question and Answer forum================
2018-01-21 19:41:31 INFO  TestBase:21 -============Starting Question and Answer forum================
2018-01-22 10:50:09 INFO  TestBase:21 -============Starting Question and Answer forum================
2018-01-22 10:52:48 INFO  TestBase:21 -============Starting Question and Answer forum================
2018-01-22 10:52:50 INFO  HomePage:31 -Clicked on askMoms and object is [[ChromeDriver: chrome on XP (f584ca893539343aaada96e15780bd07)] -> xpath: //*[@id='app']/div/div/header/div[1]/section[3]/a[1]]
2018-01-22 10:55:43 INFO  TestBase:21 -============Starting Question and Answer forum================
2018-01-22 10:55:46 INFO  HomePage:32 -Clicked on askMoms and object is [[ChromeDriver: chrome on XP (d6d9fe9b6ce84248da3eef2102c09608)] -> xpath: //*[@id='app']/div/div/header/div[1]/section[3]/a[1]]
2018-01-22 10:58:52 INFO  TestBase:21 -============Starting Question and Answer forum================
2018-01-22 10:58:57 INFO  HomePage:32 -Clicked on askMoms and object is [[ChromeDriver: chrome on XP (28fa6c7b604442437af2ecb618eddf8c)] -> xpath: //*[@id='app']/div/div/header/div[1]/section[3]/a[1]]
2018-01-22 10:59:58 INFO  HomePage:34 -Clicked on askLifestages and object is Proxy element for: DefaultElementLocator 'By.xpath: //*[@id='app']/div/div/main/div/div/div[2]/div/div[1]/div[1]/div/div/div[1]/div/a/h3'
2018-01-22 11:00:02 INFO  TestBase:24 -============Finished Question and Answers forum================
2018-01-22 11:00:28 INFO  TestBase:21 -============Starting Question and Answer forum================
2018-01-22 11:00:30 INFO  HomePage:32 -Clicked on askMoms and object is [[ChromeDriver: chrome on XP (d827eda48fc790954af0ca0a6016becd)] -> xpath: //*[@id='app']/div/div/header/div[1]/section[3]/a[1]]
2018-01-22 11:09:33 INFO  TestBase:21 -============Starting Question and Answer forum================
2018-01-22 11:09:40 INFO  HomePage:32 -Clicked on askMoms and object is [[ChromeDriver: chrome on XP (87e993e3ccc5f7b2d26c6aaa22599466)] -> xpath: //*[@id='app']/div/div/header/div[1]/section[3]/a[1]]
2018-01-22 11:10:45 INFO  HomePage:34 -Clicked on askLifestages and object is Proxy element for: DefaultElementLocator 'By.xpath: //*[@id='app']/div/div/main/div/div/div[2]/div/div[1]/div[1]/div/div/div[1]/div/a/h3'
2018-01-22 11:10:49 INFO  TestBase:24 -============Finished Question and Answers forum================
2018-01-22 11:12:04 INFO  TestBase:21 -============Starting Question and Answer forum================
2018-01-22 11:12:06 INFO  HomePage:32 -Clicked on askMoms and object is [[ChromeDriver: chrome on XP (a15b61022742609bfbb6f465b0966e35)] -> xpath: //*[@id='app']/div/div/header/div[1]/section[3]/a[1]]
2018-01-22 11:13:07 INFO  HomePage:34 -Clicked on askLifestages and object is Proxy element for: DefaultElementLocator 'By.xpath: //*[@id='app']/div/div/main/div/div/div[2]/div/div[1]/div[1]/div/div/div[1]/div/a/h3'
2018-01-22 11:13:08 INFO  TestBase:24 -============Finished Question and Answers forum================
2018-01-22 11:15:40 INFO  TestBase:21 -============Starting Question and Answer forum================
2018-01-22 11:15:43 INFO  HomePage:32 -Clicked on askMoms and object is [[ChromeDriver: chrome on XP (83ce0c09b33ab67b920743be3034142e)] -> xpath: //*[@id='app']/div/div/header/div[1]/section[3]/a[1]]
2018-01-22 11:16:44 INFO  HomePage:34 -Clicked on askLifestages and object is Proxy element for: DefaultElementLocator 'By.xpath: //*[@id='app']/div/div/main/div/div/div[2]/div/div[1]/div[1]/div/div/div[1]/div/a/h3'
2018-01-22 11:16:46 INFO  HomePage:37 -Clicked on askLifestages and object is [[ChromeDriver: chrome on XP (83ce0c09b33ab67b920743be3034142e)] -> xpath: //*[@id='app']/div/div/main/div/div/div[2]/div/div[1]/div[1]/div/div/div[1]/div/a/h3]
2018-01-22 11:16:46 INFO  TestBase:24 -============Finished Question and Answers forum================
2018-01-22 11:25:08 INFO  TestBase:21 -============Starting Question and Answer forum================
2018-01-22 11:25:13 INFO  HomePage:32 -Clicked on askMoms and object is [[ChromeDriver: chrome on XP (74cea97d584a6971577a49d48751af87)] -> xpath: //*[@id='app']/div/div/header/div[1]/section[3]/a[1]]
2018-01-22 11:26:15 INFO  HomePage:34 -Clicked on askLifestages and object is Proxy element for: DefaultElementLocator 'By.xpath: //*[@id='app']/div/div/main/div/div/div[2]/div/div[1]/div[1]/div/div/div[1]/div/a/h3'
2018-01-22 11:26:17 INFO  HomePage:38 -Clicked on askLifestages and object is [[ChromeDriver: chrome on XP (74cea97d584a6971577a49d48751af87)] -> xpath: //*[@id='app']/div/div/main/div/div/div[2]/div/div[1]/div[1]/div/div/div[1]/div/a/h3]
2018-01-22 11:26:17 INFO  TestBase:24 -============Finished Question and Answers forum================
2018-01-22 11:27:21 INFO  TestBase:21 -============Starting Question and Answer forum================
2018-01-22 11:27:24 INFO  HomePage:32 -Clicked on askMoms and object is [[ChromeDriver: chrome on XP (1c1f223b504bbce22ec383ad51fe7887)] -> xpath: //*[@id='app']/div/div/header/div[1]/section[3]/a[1]]
2018-01-22 11:28:27 INFO  HomePage:34 -Clicked on askLifestages and object is Proxy element for: DefaultElementLocator 'By.xpath: //*[@id='app']/div/div/main/div/div/div[2]/div/div[1]/div[1]/div/div/div[1]/div/a/h3'
2018-01-22 11:28:29 INFO  HomePage:38 -Clicked on askLifestages and object is [[ChromeDriver: chrome on XP (1c1f223b504bbce22ec383ad51fe7887)] -> xpath: //*[@id='app']/div/div/main/div/div/div[2]/div/div[1]/div[1]/div/div/div[1]/div/a/h3]
2018-01-22 11:28:29 INFO  TestBase:24 -============Finished Question and Answers forum================
2018-01-22 11:39:29 INFO  TestBase:21 -============Starting Question and Answer forum================
2018-01-22 11:39:32 INFO  HomePage:39 -Clicked on askMoms and object is [[ChromeDriver: chrome on XP (c558f4ab6fce3b4cd92aedfad5285d9c)] -> xpath: //*[@id='app']/div/div/header/div[1]/section[3]/a[1]]
2018-01-22 11:40:33 INFO  HomePage:41 -Clicked on askLifestages and object is Proxy element for: DefaultElementLocator 'By.xpath: //*[@id='app']/div/div/main/div/div/div[2]/div/div[1]/div[1]/div/div/div[1]/div/a/h3'
2018-01-22 11:43:08 INFO  TestBase:21 -============Starting Question and Answer forum================
2018-01-22 11:43:11 INFO  HomePage:39 -Clicked on askMoms and object is [[ChromeDriver: chrome on XP (1f84d753532b11d3826537e7b87961f7)] -> xpath: //*[@id='app']/div/div/header/div[1]/section[3]/a[1]]
2018-01-22 11:46:34 INFO  TestBase:21 -============Starting Question and Answer forum================
2018-01-22 11:46:36 INFO  HomePage:39 -Clicked on askMoms and object is [[ChromeDriver: chrome on XP (3c9522d5b12d88ebab61df875227a6fa)] -> xpath: //*[@id='app']/div/div/header/div[1]/section[3]/a[1]]
2018-01-22 11:48:47 INFO  TestBase:21 -============Starting Question and Answer forum================
2018-01-22 11:48:49 INFO  HomePage:39 -Clicked on askMoms and object is [[ChromeDriver: chrome on XP (b23d4d49c840cd7226f127e6e9aa3110)] -> xpath: //*[@id='app']/div/div/header/div[1]/section[3]/a[1]]
2018-01-22 11:50:35 INFO  TestBase:21 -============Starting Question and Answer forum================
2018-01-22 11:50:38 INFO  HomePage:39 -Clicked on askMoms and object is [[ChromeDriver: chrome on XP (30d0aa729684e7cf923105a20343467b)] -> xpath: //*[@id='app']/div/div/header/div[1]/section[3]/a[1]]
2018-01-22 11:51:39 INFO  HomePage:46 -Clicked on askLifestages and object is Proxy element for: DefaultElementLocator 'By.xpath: //*[@id='app']/div/div/main/div/div/div[2]/div/div[1]/div[2]/div[1]/div[2]/div[2]/div[2]/div'
2018-01-22 11:52:49 INFO  TestBase:21 -============Starting Question and Answer forum================
2018-01-22 11:52:51 INFO  HomePage:39 -Clicked on askMoms and object is [[ChromeDriver: chrome on XP (8be858bfb191c24189cd0361b7b15df0)] -> xpath: //*[@id='app']/div/div/header/div[1]/section[3]/a[1]]
2018-01-22 11:53:53 INFO  HomePage:46 -Clicked on askLifestages and object is Proxy element for: DefaultElementLocator 'By.xpath: //*[@id='app']/div/div/main/div/div/div[2]/div/div[1]/div[2]/div[1]/div[2]/div[2]/div[2]/div'
2018-01-22 11:54:50 INFO  TestBase:21 -============Starting Question and Answer forum================
2018-01-22 11:54:52 INFO  HomePage:39 -Clicked on askMoms and object is [[ChromeDriver: chrome on XP (c8f2b1d89b600b466d555e3b24f03491)] -> xpath: //*[@id='app']/div/div/header/div[1]/section[3]/a[1]]
